# English Lemma Dictionary
# Format: word_form	lemma
# Source: Sample dictionary for testing
running	run
runs	run
ran	run
runner	run
runners	run
walking	walk
walks	walk
walked	walk
walker	walk
speaking	speak
speaks	speak
spoke	speak
spoken	speak
speaker	speak
speakers	speak
eating	eat
eats	eat
ate	eat
eaten	eat
writing	write
writes	write
wrote	write
written	write
writer	write
writers	write
reading	read
reads	read
reader	read
readers	read
playing	play
plays	play
played	play
player	play
players	play
going	go
goes	go
went	go
gone	go
coming	come
comes	come
came	come
thinking	think
thinks	think
thought	think
looking	look
looks	look
looked	look
making	make
makes	make
made	make
taking	take
takes	take
took	take
taken	take
seeing	see
sees	see
saw	see
seen	see
getting	get
gets	get
got	get
giving	give
gives	give
gave	give
given	give
finding	find
finds	find
found	find
knowing	know
knows	know
knew	know
known	know
saying	say
says	say
said	say
telling	tell
tells	tell
told	tell
working	work
works	work
worked	work
worker	work
workers	work
living	live
lives	live
lived	live
loving	love
loves	love
loved	love
lover	love
lovers	love
books	book
houses	house
children	child
women	woman
men	man
people	person
feet	foot
teeth	tooth
mice	mouse
geese	goose
leaves	leaf
wolves	wolf
knives	knife
halves	half
selves	self
lives	life
wives	wife
thieves	thief
shelves	shelf
loaves	loaf
better	good
best	good
worse	bad
worst	bad
more	much
most	much
less	little
least	little
bigger	big
biggest	big
smaller	small
smallest	small
larger	large
largest	large
older	old
oldest	old
younger	young
youngest	young
faster	fast
fastest	fast
slower	slow
slowest	slow
higher	high
highest	high
lower	low
lowest	low
longer	long
longest	long
shorter	short
shortest	short
